deviceCode,location__longitude,location__latitude,location__wardName,time-record,time__recordedTime__$date,pyld__speed
8.65E+14,77.74388885,12.98317528,Kadugodi,2018-06-18T01:47:54.000Z,UFCW,29
8.65E+14,77.73222351,12.98812485,Hudi,2018-06-18T01:51:42.000Z,UFCW,8
8.65E+14,77.74394989,12.98274803,Kadugodi,2018-06-18T01:47:49.000Z,PCW,25
8.65E+14,77.74243927,12.97934532,Kadugodi,2018-06-18T01:46:54.000Z,PCW,24
8.65E+14,77.73181915,12.98819542,Hudi,2018-06-18T01:52:17.000Z,PCW,10
8.65E+14,77.72790527,12.99112797,Hudi,2018-06-18T01:55:39.000Z,Overspeed,14
8.65E+14,77.72787476,12.99111271,Hudi,2018-06-18T01:55:38.000Z,Overspeed,14
8.65E+14,77.72889709,12.99209023,Hudi,2018-06-18T01:57:16.000Z,Overspeed,12
8.65E+14,77.7292099,12.99207592,Hudi,2018-06-18T01:58:02.000Z,Overspeed,12
8.65E+14,77.7300415,12.99223804,Hudi,2018-06-18T01:58:20.000Z,Overspeed,11
8.65E+14,77.73139954,12.99353504,Hudi,2018-06-18T01:59:56.000Z,Overspeed,14
8.65E+14,77.73140717,12.99487972,Hudi,2018-06-18T02:00:55.000Z,Overspeed,7
8.65E+14,77.72792053,12.99545765,Hudi,2018-06-18T02:04:33.000Z,Overspeed,10
8.65E+14,77.72766876,12.9909029,Hudi,2018-06-18T02:07:46.000Z,PCW,12
8.65E+14,77.7285614,12.99147606,Hudi,2018-06-18T01:56:10.000Z,Overspeed,14
8.65E+14,77.73047638,12.99247646,Hudi,2018-06-18T01:59:08.000Z,Overspeed,13
8.65E+14,77.7309494,12.99589634,Hudi,2018-06-18T02:02:16.000Z,Overspeed,15
8.65E+14,77.72685242,12.99492455,Hudi,2018-06-18T02:04:56.000Z,Overspeed,13
8.65E+14,77.7313385,12.99555492,Kadugodi,2018-06-18T02:01:12.000Z,Overspeed,13
8.65E+14,77.72971344,12.99573994,Hudi,2018-06-18T02:03:20.000Z,Overspeed,11
8.65E+14,77.72805786,12.99550629,Hudi,2018-06-18T02:04:28.000Z,Overspeed,13
8.65E+14,77.72684479,12.99489117,Hudi,2018-06-18T02:04:57.000Z,Overspeed,12
8.65E+14,77.73047638,12.9883852,Hudi,2018-06-18T02:14:24.000Z,UFCW,7
8.65E+14,77.7305603,12.98835754,Hudi,2018-06-18T02:14:29.000Z,UFCW,5
8.65E+14,77.72731781,12.98976612,Hudi,2018-06-18T02:13:16.000Z,PCW,23
8.65E+14,77.72724152,12.98935032,Hudi,2018-06-18T02:13:24.000Z,UFCW,24
